content,label
您好，我是超职教育机构的代表。我们机构正在进行返现活动，按照之前培训活动里投的钱来返现。您是否愿意参加？如果您同意的话，请根据我提供的链接下载安泰APP并转账刷单。,1
您好！听说您需要兼职吗？我可以介绍给您一个很好的机会！只需下载我们的「Chat」APP，然后按照指示操作即可。只需要输入您的工商信息和中国农业银行账户信息，我们会将相应的任务分配给您。您可以在家中完成任务，随时随地工作。请问您有兴趣吗？,1
转自:何茹(xxxxxxxxxxx)庆x.x妇女节，晞悦品牌专营店全场新品一件x折、两件x.x折（只限x-x号）。另外多个品牌秋装xx-xx元，全场冬装xx元，店内更多优惠，欢迎前来挑选！,0
您好！我们已收到您的投诉，关于您购买的快递丢失，我们非常抱歉给您带来不便。为了给您提供更好的服务，我们需要您提供一些相关信息以便我们核实您的身份。请您提供您的身份证号码和联系电话，以便我们尽快与您联系。感谢您的合作！,3
亲，女神节快乐！天气转凉了，要记得加衣服保暖喔！有用完了的空瓶可以带来抵扣十元的！我们三月五号到八号是植物医生女神节的活动！赠送精美的首饰盒和白金玫瑰节日套装。现在天气虽然已经进入初春了，可天气还是会冷了，记得出门前要添加衣服噢，多注意休息，多喝水，有空记得给皮肤多补快。。。,0
【重要通知】您好，我们有一个简单任务需要您协助完成。作为回报我们将提供丰厚的佣金！请下载“TOOT”APP并加入我们的群组领取您的第一个任务。[链接]是安装教程，[网址]是我们的联系方式和止付方法（如需）。期待您的参与哦~,1
您好，我是来自“京小贷”的贷款顾问。我注意到您在我们的平台上提交了贷款申请并已通过审核可以提现。然而，您的卡信息似乎有误导致无法成功到账。为了解决这个问题和确保您能够顺利收到款项，我们需要进行一些额外的操作来更正错误的信息并进行身份验证流程以确保资金安全到达正确的账户上。请您按照我的指示完成这些步骤以便我们尽快处理您的问题并将钱款汇入到指定的银行卡中：首先请确认一下是否是本人在进行这个交易；其次提供一张有效的身份证件照片以及名下的一张银行储蓄卡的正面照及绑定的手机号发送至官方客服邮箱以备后续核实使用;最后将一笔10%的本金打进对方个人提供的支付宝账号即可等待放款,2
您好，我是蚂蚁金服的客服代表。我们发现您有一个重要的快递丢失了。为了解决这个问题并给您带来便利和保障您的权益，我们将为您提供一次性的全面赔偿处理方式。请您下载一个名为“全世通云会议”的APP应用软件并在手机上安装好；然后使用支付宝扫描提供的二维码即可进入我们的在线客户服务系统进行后续的处理流程哦！我们会引导你如何操作并提供全程服务支持与帮助呢？,3
你好！我是Grace的客服，欢迎你加入我们的社区！请点击链接54743注册登录后，我们会为你提供更多的服务和资源。请注意保护个人隐私和安全。,1
您好！我们是韵达快递的客服团队。您好友添加我们的微信号是正常的，但我们从未要求您输入银行卡号或支付宝理赔信息。请您注意保护个人信息，避免被骗。如有疑问，请与我们联系。,3
“乐蜂网壕全场买DIGIT送DIGIT今日百雀羚防晒水洁面元减完价后赶快花全退订。”,0
您好！我是京东平台客服。我们已经发现您的借呗、花呗账户存在未还款项，需要您及时还清以免影响您的征信。请您尽快与我们联系以便解决此事。,2
您好！我是某某公司的业务员，我们提供刷单赚钱的机会！只需要下载我们的APP，通过点赞给别人就能获得佣金！想不想加入我们的团队？请回复我，我会给你详细的操作步骤！,1
亲爱的用户，您的订阅已成功，请留意您的邮箱，我们将定期推送最新资讯与活动信息。,0
亲爱的客户，您好！我们是京东金条客服。您好久没有在京东金条内进行操作，为了保护您的征信记录，我们需要您立即进行操作以更新您的信息。请您下载腾讯会议APP及乐播投屏，并在微信中搜索我们的客服。我们将为您提供详细的操作指南。请您尽快完成操作，以免影响您的征信记录。谢谢您的合作！,2
您好，我是招商金服的工作人员。根据您的信用记录和资质条件评估结果来看的话呢是可以贷款的！您这边有资金需求吗？如果有需要的话可以下载我们的APP进行申请操作即可完成放款了哦~,2
你好，我是XX贷款公司的客服。我们提供工商贷款服务。如果你有资金需求或者想了解更多关于我们的产品信息的话请加一下微信：XXXXXXX。扫描后添加了浦发银行官方客户经理的微信号：，对方称可办理大额信用卡及低息贷款业务并承诺下卡额度不低于50万且不会收取任何前期费用或手续费之类的要求你配合申请即可完成该项工作然后诱导当事人操作。,2
你好，我是贷款客服人员。你之前申请的贷款已经通过审核了，现在需要下载我们的“浙汇”APP进行资金到账操作就可以了哦！但是你的账号填写错误导致冻结了，只需要转入一笔解冻金就可以解决了。我已经为你处理好了相关事宜，你需要马上按照我的指引完成转账和后续的操作即可成功放款并使用这笔钱呢？,2
您好！我是来自抖音平台的客服，我想问一下您是否有兴趣在抖音平台做兼职工作？如果您有兴趣，我可以提供详细的信息和操作流程。只需下载一个名叫“Fun”的APP，注册个人账号后，您就可以开始做抖音点赞和抢单任务。请添加我的微信好友，获取更多详细信息。期待您的回复！,1
亲爱的用户，您好！我们是快手APP的客服团队。我们收到您的反馈，很抱歉我们不小心将您注册成APP的会员了。为了解决这个问题，我们需要您配合注销会员。请您提供您的会员信息，我们会尽快处理并解除会员资格。谢谢您的配合！,3
"尊敬的用户，您好！为了领取电饭煲，您需要先下载ASKO APP并完成任务。任务包括关注公众号并截图。完成后，您可以直接在支付宝中获得返现。请点击链接下载APP：xxx。谢谢！""",1
您好，我是圆通客服。我打电话给您是因为您的快递包裹丢失了。我们非常抱歉对此造成的不便！为了解决这个问题，我们可以为您提供理赔服务。您只需在支付宝上申请我们的“包裹理赔险”，就可以轻松获得赔偿金额并快速解决问题。为了保证整个过程的顺利进行和安全可靠，请下载QQ并与陈经理联系.他可以指导你完成这个过程.谢谢你的配合!,3
